what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.uml2.diagram.clazz,0.10.0.201103290533,"org.eclipse.uml2.diagram.clazz.part.UMLDiagramEditorID",1336411990265
closed,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1336411990289
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1336411994904
opened,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1336412001459
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1336412001506
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1336412001740
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1336412003495
activated,editor,org.eclipse.uml2.diagram.clazz,0.10.0.201103290533,"org.eclipse.uml2.diagram.clazz.part.UMLDiagramEditorID",1336412186290
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1336412200825
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336412258534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336412279117
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1336412295075
activated,editor,org.eclipse.uml2.diagram.clazz,0.10.0.201103290533,"org.eclipse.uml2.diagram.clazz.part.UMLDiagramEditorID",1336412299915
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1336412304146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336412305720
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336412307200
activated,editor,org.eclipse.uml2.diagram.clazz,0.10.0.201103290533,"org.eclipse.uml2.diagram.clazz.part.UMLDiagramEditorID",1336412308651
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1336412366779
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336412375388
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336412376794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336412382502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336412383729
activated,editor,org.eclipse.uml2.diagram.clazz,0.10.0.201103290533,"org.eclipse.uml2.diagram.clazz.part.UMLDiagramEditorID",1336412385777
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336412397979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336412399315
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336412402220
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336412408125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336412429301
